cia_id,ofac_id,cia_name,ofac_name,cia_country,ofac_nationality,name_score,country_match,position_match,combined_score,match_signals,recommended_action
363283d1-bd77-5bb4-bb10-143090a3b8bb,4651c09e-0000-5288-a20a-774be5f1cb50,ahmad meydari,ahmad naderian,Iran,ir,66.67,1,0,70.0,name=67; country=['ir'],REVIEW
363283d1-bd77-5bb4-bb10-143090a3b8bb,47f44062-8444-5c95-aff7-09bde9fe941b,ahmad meydari,ahmad fathi,Iran,ir,66.67,1,0,70.0,name=67; country=['ir'],REVIEW
87f842cc-288e-55f0-b582-ea1f8ebbec8d,7ef9d4df-0c77-5553-b05c-c7d1b21677e0,ahmad donyamali,ahmad karimi,Iran,ir,66.67,1,0,70.0,name=67; country=['ir'],REVIEW
f09fa64f-3749-5bb9-8eae-47aa0e56fc7c,4f5dc1ce-87ae-5719-8c68-4edc9cf1e13c,mohamad-reza farzin,mohammad sadegh fatehi,Iran,ir,66.67,1,0,70.0,name=67; country=['ir'],REVIEW
f09fa64f-3749-5bb9-8eae-47aa0e56fc7c,b98a0453-e7ba-55d6-8ae4-330119ad29dd,mohamad-reza farzin,seyyed reza mir mohammad ali,Iran,ir,66.67,1,0,70.0,name=67; country=['ir'],REVIEW
f09fa64f-3749-5bb9-8eae-47aa0e56fc7c,493f8d6f-afeb-52d3-8b68-1ee5416e2afb,mohamad-reza farzin,reza amiri moghadam,Iran,ir,66.67,1,0,70.0,name=67; country=['ir'],REVIEW
f09fa64f-3749-5bb9-8eae-47aa0e56fc7c,45fc9a87-c84e-5d7b-919f-5c53ef64b9cb,mohamad-reza farzin,mohammad reza naqdi,Iran,ir,66.67,1,0,70.0,name=67; country=['ir'],REVIEW
f09fa64f-3749-5bb9-8eae-47aa0e56fc7c,f3272569-03ab-598d-9b3b-ebc1063f9c65,mohamad-reza farzin,mohammad bagheri,Iran,ir,66.67,1,0,70.0,name=67; country=['ir'],REVIEW
f09fa64f-3749-5bb9-8eae-47aa0e56fc7c,12b779a6-568b-5113-ad9f-3d30b562fb11,mohamad-reza farzin,mohammad reza ostad,Iran,ir,66.67,1,0,70.0,name=67; country=['ir'],REVIEW
f09fa64f-3749-5bb9-8eae-47aa0e56fc7c,eb519384-d0a5-5f38-9fc9-317c7373860e,mohamad-reza farzin,mohammad abedini,Iran,ir,66.67,1,0,70.0,name=67; country=['ir'],REVIEW
30e84c08-0100-5fb9-adba-9b44b6b03513,2406ba11-05b7-59a5-8322-64de95fa22d1,abd al-rahim jassim,abd al-hadi al-iraqi,Iraq,iq,66.67,1,0,70.0,name=67; country=['iq'],REVIEW
b4739228-8770-5f35-9a18-0c857200eb69,1120d77d-9ba8-5878-957a-0890095cd8ca,abd al-husayn al-musawi,hossein moanes al-'ibudi,Iraq,iq,66.67,1,0,70.0,name=67; country=['iq'],REVIEW
b4739228-8770-5f35-9a18-0c857200eb69,67eb305b-dc93-54c5-b468-f332f353a091,abd al-husayn al-musawi,hussein qaid al-awadi,Iraq,iq,66.67,1,0,70.0,name=67; country=['iq'],REVIEW
f5bba0b2-1672-538d-a57d-6a7713adea30,2aeab189-20f3-533b-9607-b855852a575e,basim muhammad khudayr,muhammad al-ghorayfi,Iraq,ir,66.67,1,0,70.0,name=67; country=['iq'],REVIEW
23ba379d-8492-5e9e-997d-eb6a1e08510d,d824ded0-7a52-53fa-bacc-c1ac9016868b,ali muhsin al-allaq,muhsin khadr al-khafaji,Iraq,iq,66.67,1,0,70.0,name=67; country=['iq'],REVIEW
57f4eb8e-d7a9-57e6-99ca-baa2ad732695,c69a2303-7882-5481-9348-701c4024d607,bilal al-hamdani,fawzi mutlaq al-rawi,Iraq,iq,50.0,1,1,70.0,"name=50; country=['iq']; position_overlap=['chairman,']",REVIEW
57f4eb8e-d7a9-57e6-99ca-baa2ad732695,dce09c1b-b72a-5fb7-b7dc-dde9daf3eaff,bilal al-hamdani,ahmad al-hamidawi,Iraq,iq,66.67,1,0,70.0,name=67; country=['iq'],REVIEW
7662bda8-1581-5252-a638-f831c37cf977,2406ba11-05b7-59a5-8322-64de95fa22d1,luqman abd al-rahim fayli,abd al-hadi al-iraqi,Iraq,iq,66.67,1,0,70.0,name=67; country=['iq'],REVIEW
f9c11f75-2319-572a-8e2f-c836357552e5,12e28eae-3413-5c7f-8543-5361d66133d5,jong un kim,ho kyu kim,"Korea, North",kp,66.67,1,0,70.0,name=67; country=['kp'],REVIEW
f9c11f75-2319-572a-8e2f-c836357552e5,0bd558aa-1421-5587-843c-f71b34c549df,jong un kim,su gil kim,"Korea, North",kp,66.67,1,0,70.0,name=67; country=['kp'],REVIEW
f9c11f75-2319-572a-8e2f-c836357552e5,2ea72da9-edb8-54e7-9101-7fd192d24b3b,jong un kim,yong nam jong,"Korea, North",kp,66.67,1,0,70.0,name=67; country=['kp'],REVIEW
f9c11f75-2319-572a-8e2f-c836357552e5,87261b3b-752a-55f6-bf56-a32e634d2725,jong un kim,myong jin kim,"Korea, North",kp,66.67,1,0,70.0,name=67; country=['kp'],REVIEW
2db666ac-26f4-500d-8e57-d0d421626000,12e28eae-3413-5c7f-8543-5361d66133d5,tok hun kim,ho kyu kim,"Korea, North",kp,66.67,1,0,70.0,name=67; country=['kp'],REVIEW
2db666ac-26f4-500d-8e57-d0d421626000,7cd74e4c-db61-54f2-9dba-32cc9825ac15,tok hun kim,tok jin ri,"Korea, North",kp,66.67,1,0,70.0,name=67; country=['kp'],REVIEW
4a19256d-6939-57ce-8382-7eb6928ad8dd,80ac3a19-9ac6-56be-bafd-09a41c6b10f9,yong won jo,kyong-chol jo,"Korea, North",kp,66.67,1,0,70.0,name=67; country=['kp'],REVIEW
b700b190-27ae-5cb1-941c-0a513750a653,5247a5d4-c75c-54c8-85e6-ce6ff8d7f291,yong gil ri,yong hyok rim,"Korea, North",kp,66.67,1,0,70.0,name=67; country=['kp'],REVIEW
b700b190-27ae-5cb1-941c-0a513750a653,1d19abb8-c0ce-5200-9d7a-6ead2282d591,yong gil ri,su yong ri,"Korea, North",kp,66.67,1,0,70.0,name=67; country=['kp'],REVIEW
b700b190-27ae-5cb1-941c-0a513750a653,a8cba52b-1ae3-5e9b-b1fb-e13f1da061fe,yong gil ri,yong chol kim,"Korea, North",kp,66.67,1,0,70.0,name=67; country=['kp'],REVIEW
016b063f-7385-5c67-abd3-c36f628d8705,f46b91e1-d7a0-59a1-b231-26c7c4c19d88,o su yong,yong chol ho,"Korea, North",kp,66.67,1,0,70.0,name=67; country=['kp'],REVIEW
