cia_id,ofac_id,cia_name,ofac_name,cia_country,ofac_nationality,name_score,recommended_action
542b4e37-6fc2-5f62-8707-4ef46feb8839,01acb0eb-38bd-57b4-8434-fbf6f14f9e56,muthana al-tamimi,muhannad al-najdi,Iraq,sa,70.59,REVIEW
6eaca02e-bd2a-55a4-838f-fb4d56412dfc,dbfba397-f2fc-5c9c-a9f8-b7ce48e183e1,mohammad al-khalayleh,mohammad khan,Jordan,,70.59,REVIEW
89abf349-1f32-532b-91d9-d10d0ef65511,68bbe1cf-00bd-5454-8936-65f8103f9dbf,muhammad al-momani,muhammad gaddafi,Jordan,,70.59,REVIEW
c167da31-16d1-5f44-bc15-2dc32b0786de,8ddb4a78-6116-5192-8cc7-24e0f9d1cfdd,alexander teabo,alexander ostrowsky,Kiribati,ch,70.59,REVIEW
0dfb6602-2cb9-593e-9549-4b97c0d28e5c,bf3c0770-67c1-5ebe-beb7-e1f150d76454,chol mun,chol u yu,"Korea, North",,70.59,REVIEW
90b1bfe1-3891-5856-9781-3d8fbca3cbbf,06be23dc-619a-5c18-8e22-385072ab63cf,hun pak,han se pak,"Korea, North",,70.59,REVIEW
90b1bfe1-3891-5856-9781-3d8fbca3cbbf,8fca5417-eadd-53eb-b3b2-1319cdca551c,hun pak,mun il pak,"Korea, North",kp,70.59,REVIEW
b2e208de-6621-55ac-be25-017b499969b3,b12bfb7b-7ecf-5b52-be8f-f18b38e15c8d,tu il ri,su il kim,"Korea, North",,70.59,REVIEW
cc616297-3e2c-5035-bb7f-1fdb127363a5,12e57457-a05f-5bc0-bc04-2a46b9c67350,song kim,jing song,"Korea, North",cn,70.59,REVIEW
cc616297-3e2c-5035-bb7f-1fdb127363a5,135c4262-e6f9-5393-bc25-00c89328faca,song kim,se un kim,"Korea, North",kp,70.59,REVIEW
a3b61386-951d-5aa7-a077-3285a302627c,a13642ba-cbe6-5cb0-9dc6-1fd49313f420,adel muhammad abdullah al-adwani,muhammad abdallah hasan abu-al-khayr,Kuwait,,70.59,REVIEW
ba85892a-2410-57a7-8218-715f1e6d6cfb,0d2aab89-52e7-5356-9873-f9539c5c1830,muhammad abdallah,muhammad al-hindi,Kuwait,,70.59,REVIEW
6d580cd0-246d-59b1-92c3-1232ce7035b2,cf9bcb9f-16d9-54fc-864e-95a75b6df554,muhammad haidar,muhammad al-ghazali,Lebanon,ye,70.59,REVIEW
6d580cd0-246d-59b1-92c3-1232ce7035b2,d72482c5-ddc9-5b1f-b377-a3d91bbc073c,muhammad haidar,muhammad kawtharani,Lebanon,lb,70.59,REVIEW
6d580cd0-246d-59b1-92c3-1232ce7035b2,ac9d6356-4e8a-5b2e-85d2-87757bfe6563,muhammad haidar,jami' 'ali muhammad,Lebanon,so,70.59,REVIEW
6d580cd0-246d-59b1-92c3-1232ce7035b2,a6c385a2-a585-5bc9-8900-f1f1fa0de7b5,muhammad haidar,muhammad harris dar,Lebanon,,70.59,REVIEW
6d580cd0-246d-59b1-92c3-1232ce7035b2,353d33bb-6dc1-5a91-bdd2-e8c889702d03,muhammad haidar,ali muhammad hamsho,Lebanon,sy,70.59,REVIEW
6d580cd0-246d-59b1-92c3-1232ce7035b2,de83e0e7-6e28-54fc-941a-4997cbf117c9,muhammad haidar,muhammad hasan ra'd,Lebanon,,70.59,REVIEW
72004bb0-b77a-50ae-bfde-809521de7dbb,e12446d6-7577-580a-921f-3b5fc7951bf1,muhammad al-manfi,hamad al-moussawi,Libya,iq,70.59,REVIEW
72004bb0-b77a-50ae-bfde-809521de7dbb,01acb0eb-38bd-57b4-8434-fbf6f14f9e56,muhammad al-manfi,muhannad al-najdi,Libya,sa,70.59,REVIEW
336bf454-a678-5c9a-989f-f0c76e205220,67818d2f-6149-5141-999c-5390d86109cc,abdullah al-lafi,ali abdullah ayoub,Libya,sy,70.59,REVIEW
336bf454-a678-5c9a-989f-f0c76e205220,802cc3b8-f9bd-5ecb-88c5-183893512a75,abdullah al-lafi,ali abdullah saleh,Libya,ye,70.59,REVIEW
3367d1e0-b60f-59dc-8193-5e08b56fccee,8fb2ba47-d445-55f2-aae6-18a10d4ae82d,husayn al-qatrani,hassan al-wardian,Libya,ps,70.59,REVIEW
