cia_id,ofac_id,cia_name,ofac_name,ofac_matched_name,cia_country,ofac_nationality,name_score,country_match,position_match,combined_score,match_signals,recommended_action
486a72fc-e0b8-5266-a529-f37f35e979f1,8f8f436f-6282-5f20-9b3b-25419a413fcd,abd al-karim abtan,ata abdoulaziz rashid,ata abd al-aziz rashid,Iraq,iq,70.0,1,0,72.0,name=70; matched_via_alias='ata abd al-aziz rashid'; country=['iq'],REVIEW
02365e20-d950-5c86-8365-cd4254a18cc4,8f8f436f-6282-5f20-9b3b-25419a413fcd,sarwa abd al-wahid,ata abdoulaziz rashid,ata abd al-aziz rashid,Iraq,iq,70.0,1,0,72.0,name=70; matched_via_alias='ata abd al-aziz rashid'; country=['iq'],REVIEW
016b063f-7385-5c67-abd3-c36f628d8705,bd3ebc5c-8fa5-5d48-ab43-c0798bd7fb90,o su yong,yong il sin,yong il sin,"Korea, North",kp,70.0,1,0,72.0,name=70; country=['kp'],REVIEW
c18a864c-2479-54f5-83a8-a797da2be8f7,620835a7-a319-5d7d-9a53-5019683c0569,son gwon ri,je-son ri,je-son ri,"Korea, North",kp,70.0,1,0,72.0,name=70; country=['kp'],REVIEW
c97a4c11-6d14-5bc3-824a-8a5f027534ab,c72ee24e-87bb-5810-aa51-b86320d469f5,sun nam kang,min kang,min kang,"Korea, North",kp,70.0,1,0,72.0,name=70; country=['kp'],REVIEW
7475f95b-ed17-5780-b5b0-d2feb3a2594e,0bd558aa-1421-5587-843c-f71b34c549df,kil son ko,su gil kim,su-kil kim,"Korea, North",kp,70.0,1,0,72.0,name=70; matched_via_alias='su-kil kim'; country=['kp'],REVIEW
0dfb6602-2cb9-593e-9549-4b97c0d28e5c,072c2404-41d4-5fb9-ba58-340a2e1052fe,chol mun,chol man han,chol man han,"Korea, North",kp,70.0,1,0,72.0,name=70; country=['kp'],REVIEW
0dfb6602-2cb9-593e-9549-4b97c0d28e5c,bdf7db8d-caa4-59b3-a63f-3baaecc9bba3,chol mun,geum cheol kim,"kim, kum-chol","Korea, North",kp,70.0,1,0,72.0,"name=70; matched_via_alias='kim, kum-chol'; country=['kp']",REVIEW
0dfb6602-2cb9-593e-9549-4b97c0d28e5c,9fc6c03b-4ec8-5c86-837b-988c47dae158,chol mun,min chol kim,min chol kim,"Korea, North",kp,70.0,1,0,72.0,name=70; country=['kp'],REVIEW
c7a1b474-a0ab-5df4-8d68-f47f5b403fdb,6670463d-2261-5ab6-94e5-3fcff7a2d2ff,hyon chol jon,il-u cho,chol jo,"Korea, North",kp,70.0,1,0,72.0,name=70; matched_via_alias='chol jo'; country=['kp'],REVIEW
0d1d2866-386b-5a8c-8de9-b534f9364050,6670463d-2261-5ab6-94e5-3fcff7a2d2ff,kum chol kim,il-u cho,il-u cho,"Korea, North",kp,70.0,1,0,72.0,name=70; country=['kp'],REVIEW
4f2e5ddc-e7f2-5114-91e0-b66d2b467446,135c4262-e6f9-5393-bc25-00c89328faca,sung du kim,se un kim,se un kim,"Korea, North",kp,70.0,1,0,72.0,name=70; country=['kp'],REVIEW
16e2fc62-372f-5b15-a7a0-28390672fd29,f26aaf2e-a651-517b-aba9-903eb8ff7e80,kang choe,un jong choe,unjong choe,"Korea, North",kp,70.0,1,0,72.0,name=70; matched_via_alias='unjong choe'; country=['kp'],REVIEW
98d46526-22bc-5092-acc7-39b7ef15df5f,05295a1f-3193-5ce8-bb09-449b7fd68ddc,yu il kim,yon hui kim,yon hui kim,"Korea, North",kp,70.0,1,0,72.0,name=70; country=['kp'],REVIEW
8cd0c6e3-caab-55c5-94be-0cc31f55b070,a54486f9-bca7-5cd3-967d-82418e88d91e,jong ho yun,yong ho o,yong ho o,"Korea, North",kp,70.0,1,0,72.0,name=70; country=['kp'],REVIEW
077959aa-ee52-5a90-a839-8c3e1ce4feca,118a1ba5-17c3-5ef9-b6da-2b5c86ddb3a2,kum song jin,song kim,song kim,"Korea, North",kp,70.0,1,0,72.0,name=70; country=['kp'],REVIEW
3ce8c5ad-99f6-5c34-bb72-1725130567b3,12e28eae-3413-5c7f-8543-5361d66133d5,il guk kim,ho kyu kim,ho gyu kim,"Korea, North",kp,70.0,1,0,72.0,name=70; matched_via_alias='ho gyu kim'; country=['kp'],REVIEW
3ce8c5ad-99f6-5c34-bb72-1725130567b3,0bd558aa-1421-5587-843c-f71b34c549df,il guk kim,su gil kim,su gil kim,"Korea, North",kp,70.0,1,0,72.0,name=70; country=['kp'],REVIEW
8a4561d5-6e38-5ae7-894b-48966e7707a5,118a1ba5-17c3-5ef9-b6da-2b5c86ddb3a2,sung jin kim,song kim,song kim,"Korea, North",kp,70.0,1,0,72.0,name=70; country=['kp'],REVIEW
23aa2249-7320-5ad4-ab3d-0ff7fe21c2c6,ef9e5aa7-449d-5251-99e0-e8114cf0e482,abd-al-hamid dubaybah,'abd-al-hamid al-masli,'abd-al-hamid al-masli,Libya,ly,70.0,1,0,72.0,name=70; country=['ly'],REVIEW
